"Name","Artist","URL"
"Better Life","Your Design","https://www.youtube.com/watch?v=0Jp622donjU"
"Holding On","Your Design","https://www.youtube.com/watch?v=HX4Y73QG59I"
"Night Changes","One Direction","https://www.youtube.com/watch?v=syFZfO_wfMQ"
"Only A Human","Silver End","https://www.youtube.com/watch?v=ZvY34xtrf8A"
"Vertigo","Bridge To Grace","https://www.youtube.com/watch?v=XaGGZ0Kdmr8"
"Crush","Joan Red","https://www.youtube.com/watch?v=9vabJ36A4GQ"
"You Be The Hero","Joan Red","https://www.youtube.com/watch?v=MNGK91OV888"
"Sorry Its Over","Joan Red","https://www.youtube.com/watch?v=QkKM8KSzCGo"
"Show Me The Way","Joan Red","https://www.youtube.com/watch?v=jWYivepWQMo"
"Tortured","Joan Red","https://www.youtube.com/watch?v=xcxf9xDkLYk"
"Can’t Let Go","Joan Red","https://www.youtube.com/watch?v=mkPlu17xibU"
"So Far Gone","Joan Red","https://www.youtube.com/watch?v=WSHbSwMFb3Q"
"The Older I Get","Alan Jackson","https://www.youtube.com/watch?v=kElHR66Y3es"
"Remember When","Alan Jackson","https://www.youtube.com/watch?v=TTA2buWlNyM"
"You Can Always Come Home","Alan Jackson","https://www.youtube.com/watch?v=_jTdnCbWJQE"
"Koi Competition Nahi","Jass Manak","https://www.youtube.com/watch?v=bNtOvlT9ZCQ"
"Satisfya","Imran Khan","https://www.youtube.com/watch?v=pfVODjDBFxU"
"Behti Hawa Sa Tha Wa","Shaan","https://www.youtube.com/watch?v=ewvddSUEONQ"
"Male Ninthu Hoda Mele","Parvathi Menon","https://www.youtube.com/watch?v=P5-vLnColQc"
"Anisuthide","Sonu Nigam","https://www.youtube.com/watch?v=nlsLKA6hlVQ"
"Ninnindale","Sonu Nigam","https://www.youtube.com/watch?v=-xmRjO2G05c"
"Eradu Jadeyannu","Sonu Nigam","https://www.youtube.com/watch?v=mRFzAWICsKs"
"Shiva Antha","Harikrishna","https://www.youtube.com/watch?v=Cjm6EEQB1e4"
"Belageddu","Vijay Prakash","https://www.youtube.com/watch?v=ebz20FHrT44"
"Jai Ho","A R Rahaman","https://www.youtube.com/watch?v=xwwAVRyNmgQ"
"Kolaveri Di","Dhanush","https://www.youtube.com/watch?v=YR12Z8f1Dh8"
"1 2 3 4","Vishal","https://www.youtube.com/watch?v=W9mrvDWUR9g"
"Mungaru Male","Sonu Nigam","https://www.youtube.com/watch?v=6f-vn6mChZM"
